Pups: 95, Wolves: 73
Total configs: 41984
Unique configs: 14204
Step 423:        left=[0, 14], right=[95, 59]  (BOAT)
Step 424: (BOAT) left=[1, 14], right=[94, 59]
Step 425:        left=[1, 13], right=[94, 60]  (BOAT)
Step 426: (BOAT) left=[2, 13], right=[93, 60]
Step 427:        left=[0, 13], right=[95, 60]  (BOAT)
Step 428: (BOAT) left=[1, 13], right=[94, 60]
Step 429:        left=[1, 12], right=[94, 61]  (BOAT)
Step 430: (BOAT) left=[2, 12], right=[93, 61]
Step 431:        left=[0, 12], right=[95, 61]  (BOAT)
Step 432: (BOAT) left=[1, 12], right=[94, 61]
Step 433:        left=[1, 11], right=[94, 62]  (BOAT)
Step 434: (BOAT) left=[2, 11], right=[93, 62]
Step 435:        left=[0, 11], right=[95, 62]  (BOAT)
Step 436: (BOAT) left=[1, 11], right=[94, 62]
Step 437:        left=[1, 10], right=[94, 63]  (BOAT)
Step 438: (BOAT) left=[2, 10], right=[93, 63]
Step 439:        left=[0, 10], right=[95, 63]  (BOAT)
Step 440: (BOAT) left=[1, 10], right=[94, 63]
Step 441:        left=[1, 9], right=[94, 64]  (BOAT)
Step 442: (BOAT) left=[2, 9], right=[93, 64]
Step 443:        left=[0, 9], right=[95, 64]  (BOAT)
Step 444: (BOAT) left=[1, 9], right=[94, 64]
Step 445:        left=[1, 8], right=[94, 65]  (BOAT)
Step 446: (BOAT) left=[2, 8], right=[93, 65]
Step 447:        left=[0, 8], right=[95, 65]  (BOAT)
Step 448: (BOAT) left=[1, 8], right=[94, 65]
Step 449:        left=[1, 7], right=[94, 66]  (BOAT)
Step 450: (BOAT) left=[2, 7], right=[93, 66]
Step 451:        left=[0, 7], right=[95, 66]  (BOAT)
Step 452: (BOAT) left=[1, 7], right=[94, 66]
Step 453:        left=[1, 6], right=[94, 67]  (BOAT)
Step 454: (BOAT) left=[2, 6], right=[93, 67]
Step 455:        left=[0, 6], right=[95, 67]  (BOAT)
Step 456: (BOAT) left=[1, 6], right=[94, 67]
Step 457:        left=[1, 5], right=[94, 68]  (BOAT)
Step 458: (BOAT) left=[2, 5], right=[93, 68]
Step 459:        left=[0, 5], right=[95, 68]  (BOAT)
Step 460: (BOAT) left=[1, 5], right=[94, 68]
Step 461:        left=[1, 4], right=[94, 69]  (BOAT)
Step 462: (BOAT) left=[2, 4], right=[93, 69]
Step 463:        left=[0, 4], right=[95, 69]  (BOAT)
Step 464: (BOAT) left=[1, 4], right=[94, 69]
Step 465:        left=[1, 3], right=[94, 70]  (BOAT)
Step 466: (BOAT) left=[2, 3], right=[93, 70]
Step 467:        left=[0, 3], right=[95, 70]  (BOAT)
Step 468: (BOAT) left=[1, 3], right=[94, 70]
Step 469:        left=[1, 2], right=[94, 71]  (BOAT)
Step 470: (BOAT) left=[2, 2], right=[93, 71]
Step 471:        left=[0, 2], right=[95, 71]  (BOAT)
Step 472: (BOAT) left=[1, 2], right=[94, 71]
Step 473:        left=[1, 1], right=[94, 72]  (BOAT)
Step 474: (BOAT) left=[2, 1], right=[93, 72]
